name,avgscore
Metascore,1.0
'bad' chad broussard,60.0
'crazy' tim credeur,60.0
'weird al' yankovic,32.0
13th floor elevators,64.0
50 cent,45.0
a martinez,48.5
a. michael baldwin,72.0
a. russell andrews,33.0
a.c. peterson,37.0
a.d. miles,74.0
a.j. benza,33.0
a.j. clarke,75.0
a.j. cook,30.0
aaliyah,41.0
aamir ali malik,64.0
aamir khan,69.6
aaran thomas,35.0
aaron arefe,78.0
aaron b. oduber,61.0
aaron barr,66.0
aaron dessner,72.0
aaron eckhart,50.26315789473684
aaron kwok,53.5
aaron murphy,68.0
aaron paul,54.6
aaron pedersen,72.0
aaron ruell,64.0
aaron sherry,46.0
aaron stanford,54.25
aaron staton,44.0
aaron taylor-johnson,56.857142857142854
aaron tveit,49.5
aaron yoo,55.333333333333336
aarti mann,57.0
aasha davis,79.0
aasif mandvi,49.666666666666664
abbas kiarostami,73.0
abbie cornish,54.888888888888886
abby miller,60.0
abby wait,87.0
abdallah el akal,39.0
abdelhak zhayra,55.0
abdelhamid aktouche,83.0
abdellatif kechiche,43.0
abderrahmane benhamida,75.0
abdul basset saroot,85.0
abdul khalim mamutsiev,37.0
abdul rahman barman,76.0
abdul sattar edhi,82.0
abdullah ibrahim,78.0
abdullrahman al gohani,81.0
abel becerra,68.0
abel jafri,92.0
abhishek bachchan,53.8
abigail breslin,58.93333333333333
abigail cruttenden,48.0
abigail evans,85.0
abigail spencer,34.333333333333336
abiodun oyewole,73.0
abiye tedla,78.0
abner exposito,76.0
aboudja,82.0
abraham adesoye,64.0
abraham benrubi,54.0
abraham paskowitz,72.0
abram rooney,79.0
abu jandal,72.0
achraf meziani,65.0
ada condeescu,64.0
adalberto maria merli,48.0
adam,86.0
adam arkin,53.0
adam bakri,75.0
adam baldwin,71.5
adam barrie,38.5
adam beach,57.8
adam bousdoukos,76.0
adam boyer,63.0
adam brody,43.8
adam brooks,45.0
adam bryant,61.0
adam butcher,54.0
adam c. edwards,76.0
adam campbell,14.0
adam carolla,53.5
adam clayton,83.0
adam cockburn,80.0
adam devine,57.0
adam driver,58.25
adam echahly,43.0
adam garcia,30.75
adam goldberg,52.166666666666664
adam green,45.0
adam greer,50.0
adam hann-byrd,61.5
adam helfer,62.0
adam herschman,48.0
adam hicks,50.5
adam horovitz,72.5
adam james,52.0
adam lamberg,56.0
adam lefevre,36.0
adam marcello,57.0
adam mediano,37.0
adam monty,51.0
adam nagaitis,83.0
adam pally,52.0
adam pascal,67.5
adam quintero,47.0
adam rayner,45.0
adam rodriguez,38.5
adam rothenberg,41.5
adam sandler,40.51724137931034
adam scott,47.9
adam sevani,46.666666666666664
adam seybold,53.0
adam shapiro,48.0
adam trese,57.0
adam winfield,72.0
adam wingard,48.5
adam wood,83.0
adam yauch,68.0
adama niane,35.0
adamina kerr,59.0
addie land,57.0
addison timlin,41.0
adel bencherif,90.0
adelaide clemens,39.5
adelaide kane,35.0
adelaide leroux,67.0
adele exarchopoulos,88.0
adele haenel,66.4
aden young,47.0
