name,avgscore
Metascore,1.0
a.j. edwards,53.0
aaron aites,54.0
aaron blaise,48.0
aaron fernandez lesur,81.0
aaron katz,62.0
aaron lubarsky,48.0
aaron moorhead,62.666666666666664
aaron rose,59.0
aaron schneider,77.0
aaron seltzer,14.0
aaron wilson,64.0
aaron woodley,42.0
aaron woolf,70.0
abbas kiarostami,80.6
abby epstein,68.0
abdellatif kechiche,80.66666666666667
abderrahmane sissako,86.5
abdul malik abbott,9.0
abdullah oguz,71.0
abe sylvia,37.0
abel ferrara,55.333333333333336
abhinay deo,66.0
abhishek kapoor,40.0
adam abraham,44.0
adam bhala lough,52.0
adam brooks,49.5
adam carolla,50.0
adam chapman,68.0
adam collis,33.0
adam del deo,69.0
adam goldberg,39.0
adam green,46.8
adam kane,52.0
adam kassen,54.0
adam larson broder,46.0
adam macdonald,62.0
adam marcus,29.5
adam mckay,61.0
adam rapp,52.5
adam ravetch,64.0
adam resnick,21.0
adam rifkin,41.5
adam rodgers,60.0
adam salky,54.0
adam shankman,41.5
adam sherman,27.5
adam wingard,56.166666666666664
adam yauch,63.5
aditya kolli,58.0
adrian garcia bogliano,47.0
adrian grunberg,60.0
adrian lyne,51.714285714285715
adrian shergold,68.0
adrienne shelly,75.0
agnes hranitzky,86.0
agnes jaoui,78.5
agnes varda,86.0
agnieszka holland,65.75
agnieszka wojtowicz-vosloo,36.0
agust guðmundsson,65.0
agustin,24.0
agustin diaz yanes,31.0
aharon keshales,64.0
ahmed ahmed,49.0
aileen ritchie,44.0
aimee lagos,51.0
aiyana elliott,72.0
aj schnack,66.5
ajmal zaheer ahmad,24.0
aki kaurismaki,74.33333333333333
akihiko shiota,57.0
akira kurosawa,97.0
akiva goldsman,31.0
akiva schaffer,39.5
akiz,32.0
akshat verma,66.0
al corley,21.0
alaa sheikh hassan,58.0
alain berliner,28.0
alain corneau,69.0
alain guiraudie,81.0
alain resnais,70.33333333333333
alan ball,57.0
alan berliner,94.0
alan brown,52.333333333333336
alan cohn,27.0
alan cumming,56.0
alan g. parker,35.0
alan hicks,77.0
alan j. pakula,64.6
alan johnson,61.0
alan mak,61.5
alan metter,52.0
alan parker,56.142857142857146
alan polsky,61.0
alan poul,34.0
alan rickman,51.0
alan rudolph,55.6
alan taylor,51.0
alan white,26.0
alante kavaite,63.0
alastair fothergill,66.83333333333333
albert brooks,60.25
albert hughes,60.5
albert magnoli,55.0
albert maysles,80.0
albert pyun,39.0
albert serra,80.0
alberto arvelo,51.0
alberto lattuada,88.0
alberto negrin,56.0
alec berg,45.0
alejandro agresti,52.0
alejandro amenabar,67.66666666666667
alejandro chomski,36.0
alejandro g. inarritu,73.6
alejandro jodorowsky,76.0
alejandro monteverde,38.5
alejandro romeo,58.0
alejandro springall,68.0
alejo crisostomo,58.0
aleksander bach,28.0
aleksandr rogozhkin,69.0
aleksandr sokurov,77.0
aleksey fedorchenko,76.0
aleksey german,90.0
aleksey popogrebskiy,74.0
alex cox,61.333333333333336
alex dawson,55.0
alex de la iglesia,55.25
alex gibney,69.3076923076923
alex gregory,44.0
alex holdridge,64.0
alex karpovsky,65.0
alex kendrick,33.5
alex kurtzman,49.0
alex proyas,57.4
alex rivera,59.0
alex ross perry,68.66666666666667
alex rotaru,59.0
alex smith,58.5
alex steyermark,46.0
alex van warmerdam,66.0
alex vlack,76.0
alex winter,59.0
alexander bulkley,21.0
alexander dulerayn,20.0
alexander mackendrick,100.0
alexander payne,80.28571428571429
alexander poe,37.0
alexander witt,35.0
alexandra lipsitz,72.0
alexandra pelosi,48.0
alexandre aja,45.5
