name,avgscore
Metascore,1.0
'weird al' yankovic,32.0
a l katz,18.0
a.a. milne,58.5
a.a. milne ,68.0
a.e. hotchner ,86.0
a.e.w. mason ,49.0
a.j. edwards,53.0
a.j. quinnell ,47.0
a.m. homes ,58.0
a.s. byatt ,52.0
aaron fernandez lesur,81.0
aaron golden,40.0
aaron guzikowski,62.5
aaron hamel ,40.0
aaron harberts,18.0
aaron katz,62.0
aaron latham,61.0
aaron latham ,61.0
aaron mcgruder,46.0
aaron richard golub,45.0
aaron seltzer,26.1
aaron seltzer ,11.0
aaron sorkin,76.0
aaron sorkin ,62.0
aaron springer,66.0
aaron sterns,44.0
aaron stockard,73.0
aaron strongoni ,52.0
aaron wilson,64.0
aaron woolf,70.0
aasif mandvi,57.0
aasif mandvi ,57.0
abbas kiarostami,81.0
abbe wool,76.0
abbie hoffman ,36.0
abby everett jaques,62.0
abby kohn,46.0
abby mann,60.0
abby mann ,60.0
abdel raouf dafri ,80.5
abdellatif kechiche,83.0
abdellatif kechiche ,79.5
abderrahmane sissako,86.5
abdi nazemian,29.0
abdul malik abbott,9.0
abdul williams,50.0
abdullah oguz,71.0
abe burrows ,33.0
abe kwong,50.0
abe sylvia,37.0
abel cantou ,73.0
abel ferrara,54.142857142857146
abel ferrara ,57.0
abel lanzac,65.0
abel lanzac ,65.0
abhijat joshi,56.0
abhishek chaubey,46.0
abhishek kapoor ,40.0
abi morgan,65.5
abraham b. jehoshua ,62.0
achim von borries ,68.0
adam 'tex' davis,47.0
adam abraham,44.0
adam alleca,42.0
adam bernstein,56.0
adam bhala lough,52.0
adam bolt,88.0
adam bousdoukos,76.0
adam brooks,50.714285714285715
adam carolla,53.5
adam chapman,68.0
adam cooper,47.75
adam cozad,57.0
adam ellison,15.0
adam f. goldberg,43.5
adam fields,44.0
adam forgash,63.0
adam frattasio ,64.0
adam gierasch,52.0
adam goldberg,39.0
adam green,43.8
adam gross,38.0
adam herz,48.25
adam hochschild ,71.0
adam horowitz,49.0
adam j. braff,43.0
adam jay epstein,28.5
adam larson broder,36.5
adam leff,29.0
adam macdonald,62.0
adam marcus,17.0
adam mazer,74.0
adam mckay,55.57142857142857
adam mckay ,64.0
adam minarovich,26.0
adam moreno,41.0
adam nagata,38.0
adam pava,61.0
adam rapp,56.0
adam resnick,30.0
adam rex ,55.0
adam rifkin,38.2
adam rifkin ,26.0
adam rockoff,27.0
adam rodgers,60.0
adam rodman,64.0
adam sandler,29.545454545454547
adam sandler ,19.0
adam scheinman,44.0
adam schwartz,32.0
adam sherman,27.5
adam simon,37.5
adam small,43.0
adam sussman,38.0
adam sztykiel,44.0
adam till,44.0
adam wierzbianski,48.0
adam wingard,48.0
adam zucker,67.0
addison wiggin,70.0
adele tulli ,59.0
adi granov ,62.0
adi hasak,41.0
aditya chopra,54.333333333333336
aditya chopra ,67.0
adolf burger ,78.0
adolph green ,99.0
adrian butchart,46.0
adrian c. louis ,57.0
adrian finkelstein ,63.0
adrian garcia bogliano,43.0
adrian grunberg,60.0
adrian hodges,59.0
adrian molina ,65.0
adrian russell wills,54.0
adriana falcao ,67.0
adriana rattes ,61.0
adrien brody ,1.0
adrienne shelly,55.5
agenore incrocci,89.0
agnes de sacy,46.5
agnes jaoui,78.0
agnes jaoui ,79.0
agnes varda,86.0
agnes varda ,77.0
agneta ulfsater-troell,80.0
